student_id,attendance_rate,assignment_score,exam_score,course_load,previous_gpa,study_hours_per_week,participation_score,final_grade
STU0001,89.96714153011233,100.0,61.49643450051237,5,3.0905313713855413,4.548485505734217,35.055566660694886,67.13286810414758
STU0002,83.61735698828815,93.86950524369153,72.10962658568964,6,3.651639018658032,14.148708766020473,71.89242089338715,82.48147255973561
STU0003,91.47688538100692,80.89445554880261,59.15160158000077,4,3.2930829001963917,13.671977198569474,37.48911932875878,69.69968875932123
STU0004,100.0,70.2959483344164,68.8407694072192,6,2.79379309089176,13.000608806658143,19.868568589265667,67.71336387510517
STU0005,82.65846625276664,90.47334970420386,37.12770666092429,4,3.1285994851779635,14.426795822468037,75.94924106235634,71.20698956611437
STU0006,82.6586304305082,85.90228078132624,79.26587414745877,4,2.8796674127348934,16.32134135822818,72.78995592294918,74.69886719765448
STU0007,100.0,93.42789830041599,75.02410950724449,3,3.003940092347364,14.249415243730967,64.30326124515597,80.55692412051181
STU0008,92.67434729152909,89.52757702522955,58.658227378636184,3,2.837194473925748,8.67996916026318,67.87611819920494,80.41630511263601
STU0009,80.30525614065049,95.74329072979003,88.1849133686481,4,2.917832397057304,17.430923957809693,100.0,92.41383130919253
STU0010,90.42560043585965,71.97147182659148,93.75140275253116,4,3.1060466765370878,5.253141223387884,64.83649723937131,87.76218688901284
STU0011,80.36582307187538,99.76091098451488,42.84880271262052,4,2.503320650209025,4.748212713578999,80.20248722500149,66.24102151336902
STU0012,80.34270246429743,82.963994070386,59.745504428675716,4,2.4920605865050107,18.69590247350784,57.01270360772238,74.55665235806218
STU0013,87.41962271566034,100.0,59.617153004254035,4,2.3057287230843944,17.535101360676784,75.90465150081207,70.10358453520777
STU0014,65.86719755342202,69.66218272865648,56.20193797782271,4,2.199864447748145,14.71302317462982,65.23532649888764,56.21979904054542
STU0015,67.75082167486967,100.0,91.58949683863497,4,2.3913586538897604,8.02275747622464,61.7896303454054,65.62191062407351
STU0016,79.37712470759027,82.96866175193972,71.12347722454393,5,3.0797312534020644,11.460445296629624,100.0,84.98477036730947
STU0017,74.87168879665576,70.22872994578327,69.70970317378779,5,2.553606242254058,13.68626626156748,93.54369926368678,66.46369205323711
STU0018,88.14247332595274,72.74171248918518,34.92275271186493,4,3.2568072321155483,7.020530157129432,72.73493294798462,62.54568813494968
